 DlrZipToPmaId | ZipCd | DealerCd1 | DealerCd2 | DealerCd3 
13586|32324|FL128|AL008|FL150
13591|32330|FL128|AL008|FL150
13593|32332|FL128|AL008|FL150
13608|32351|FL128|AL008|FL150
13609|32352|FL128|AL008|GA081
13610|32353|FL128|AL008|FL150
13634|32420|FL150|AL008|AL025
13635|32421|FL150|AL008|FL128
13641|32427|FL150|AL008|AL025
13642|32428|FL150|AL008|AL025
13650|32438|FL150|AL008|AL025
13653|32442|FL128|AL008|FL150
13666|32460|FL128|AL008|FL150
13669|32463|FL150|AL008|AL025
13670|32464|AL025|AL008|FL087
13672|32466|FL150|AL008|FL087
15319|36016|AL025|AL008|AL035
15320|36017|AL025|AL008|AL036
15316|36010|AL025|AL008|AL036
15327|36027|GA075|AL008|AL035
15338|36038|AL025|AL008|AL036
15347|36048|AL025|AL008|AL036
15363|36072|GA075|AL008|AL035
15451|36311|AL025|AL008|AL036
15453|36313|AL025|AL008|FL150
15454|36314|AL025|AL008|FL150
15455|36316|AL025|AL008|FL087
15457|36318|AL025|AL008|FL087
15461|36322|AL025|AL008|FL150
15462|36323|AL025|AL008|AL036
15463|36330|AL025|AL008|AL036
15464|36331|AL025|AL008|AL036
15465|36340|AL025|AL008|FL150
15467|36344|AL025|AL008|FL150
15469|36346|AL025|AL008|AL036
15475|36360|AL025|AL008|AL036
15476|36361|AL025|AL008|AL036
15477|36362|AL025|AL008|AL036
15481|36374|AL025|AL008|AL036
15486|36421|AL025|AL008|FL087
15472|36351|AL025|AL008|AL036
15502|36453|AL025|AL008|FL087
15510|36467|AL025|AL008|FL087
15517|36477|AL025|AL008|FL087
17030|39813|GA081|AL008|AL025
17032|39817|FL128|AL008|GA081
17037|39825|FL128|AL008|GA081
17034|39819|FL128|AL008|GA081
17044|39836|GA081|AL008|AL025
17045|39837|GA081|AL008|FL128
17046|39840|GA081|AL008|GA075
17047|39841|GA081|AL008|FL128
17050|39846|GA081|AL008|AL025
17052|39852|FL128|AL008|GA081
17053|39854|GA075|AL008|AL025
17056|39862|GA081|AL008|FL128
17057|39866|GA081|AL008|GA075
17062|39886|GA081|AL008|GA075
17023|39766|MS026|AL009|MS038
16996|39702|MS026|AL009|MS038
16997|39703|MS026|AL009|MS038
16998|39704|MS026|AL009|MS038
15088|35442|MS026|AL009|MS045
15092|35447|MS026|AL009|AL032
15101|35460|MS045|AL009|MS026
15102|35461|MS026|AL009|AL032
15105|35464|MS045|AL009|MS026
15108|35470|MS045|AL009|MS026
15109|35471|MS026|AL009|AL032
15117|35481|MS026|AL009|AL032
15129|35542|AL032|AL009|MS026
15132|35545|MS026|AL009|AL032
15133|35546|AL032|AL009|MS026
15151|35574|MS026|AL009|AL032
15153|35576|MS026|AL009|AL032
15622|36701|AL036|AL009|AL030
15623|36702|AL036|AL009|AL030
15624|36703|AL036|AL009|AL030
15625|36720|AL036|AL009|MS045
15626|36722|MS045|AL009|AL036
15627|36723|AL036|AL009|MS045
15628|36726|AL036|AL009|MS045
15631|36732|MS045|AL009|MS026
15632|36736|MS045|AL009|AL036
15638|36745|MS045|AL009|MS026
15639|36748|MS045|AL009|MS026
15640|36749|AL036|AL009|AL030
15641|36750|AL030|AL009|AL036
15645|36754|MS045|AL009|AL036
15649|36761|AL036|AL009|AL025
15650|36763|MS045|AL009|MS026
15651|36764|MS045|AL009|AL029
15647|36758|AL036|AL009|AL030
15654|36767|AL036|AL009|AL030
15656|36769|MS045|AL009|AL036
15666|36792|AL030|AL009|AL037
15660|36782|MS045|AL009|MS026
15661|36783|MS045|AL009|AL036
15662|36784|MS045|AL009|AL027
15663|36785|AL036|AL009|AL030
15658|36775|AL036|AL009|AL030
15701|36901|MS045|AL009|MS026
15702|36904|MS045|AL009|MS025
15703|36907|MS045|AL009|MS026
15705|36910|MS045|AL009|MS026
15706|36912|MS045|AL009|MS026
15709|36916|MS045|AL009|MS026
15712|36922|MS045|AL009|MS026
15713|36925|MS045|AL009|MS026
14923|35035|AL030|AL009|AL037
14941|35058|AL031|AL020|AL032
14914|35019|AL031|AL020|AL022
15909|37324|TN051|AL020|TN008
15915|37330|TN051|AL020|TN008
15935|37352|TN051|AL020|TN052
15967|37388|TN051|AL020|TN052
15167|35601|AL031|AL020|AL038
15168|35602|AL031|AL020|AL038
15169|35603|AL031|AL020|AL038
15170|35609|AL031|AL020|AL038
15172|35611|AL031|AL020|AL038
15173|35612|AL031|AL020|AL038
15175|35614|AL031|AL020|AL038
15176|35615|AL031|AL020|AL038
15180|35619|AL031|AL020|AL038
15182|35621|AL031|AL020|AL032
15183|35622|AL031|AL020|AL032
15189|35640|AL031|AL020|AL032
15193|35647|AL031|AL020|AL038
15195|35649|AL031|AL020|AL038
15204|35670|AL031|AL020|AL022
15205|35671|AL031|AL020|AL038
15207|35673|AL031|AL020|AL038
15210|35699|AL031|AL020|AL038
15226|35756|AL031|AL020|AL038
15224|35754|AL031|AL020|AL022
15244|35775|AL031|AL020|AL022
14960|35087|AL031|AL020|AL022
15277|35950|AL022|AL020|AL021
15278|35951|AL022|AL020|AL021
15288|35962|AL022|AL020|AL021
15294|35971|AL022|AL020|GA091
15297|35974|AL022|AL020|GA091
15298|35975|AL022|AL020|GA091
15299|35976|AL022|AL020|AL031
15302|35980|AL022|AL020|AL034
16427|38459|TN052|AL020|AL031
16428|38460|AL031|AL020|TN052
16442|38478|TN052|AL020|AL031
15295|35972|AL022|AL021|AL034
15280|35953|AL022|AL021|AL034
15281|35954|AL022|AL021|AL034
15282|35956|AL022|AL021|AL034
15283|35957|AL022|AL021|AL020
15270|35901|AL022|AL021|AL034
15271|35902|AL022|AL021|AL034
15272|35903|AL022|AL021|GA091
15273|35904|AL022|AL021|AL034
15274|35905|AL022|AL021|AL034
15275|35906|AL022|AL021|AL034
15276|35907|AL022|AL021|AL034
15307|35987|AL022|AL021|AL034
15443|36279|AL022|AL021|AL034
15435|36271|AL022|AL021|AL034
15436|36272|AL022|AL021|GA091
15440|36276|AL035|AL021|GA035
15422|36256|AL035|AL021|AL036
14979|35125|AL034|AL021|AL022
14982|35128|AL034|AL021|AL037
14996|35149|AL034|AL021|AL030
12569|30108|GA035|AL021|GA096
12595|30138|GA091|AL021|GA063
14933|35049|AL034|AL022|AL037
14993|35146|AL034|AL022|AL037
15010|35182|AL034|AL022|AL021
14984|35131|AL034|AL022|AL021
14964|35096|AL021|AL022|AL034
15225|35755|AL020|AL022|AL031
15215|35744|AL020|AL022|GA082
15238|35768|AL020|AL022|AL031
