 DealerCd | DealerNm | OperationDt | Region | SalesDistrict | ServiceDistrict | PartsDistrict | PrincipalNm | BillingAddress1 | BillingAddress2 | BillingCity | BillingState | BillingZipCd | Address1 | Address2 | City | State | ZipCd | Phone | Fax | ADI | GeneralManager | UpdatedDt | CreateDt | DealerUrl | DealerEmail | IsCarCareExpress | IsPresidentAward | Latitude | Longitude | Tier3Vendor | ScheduleConsumerUrlNonSSO | IsGenesisBrand | IsExclusiveGenesisBrand | OtherDealerCd | ScheduleServiceVendorId | DealerRating | DealerReviewCount | DealerSurecriticUrl | Computed_ScheduleConsumerUrl | ShopperAssuranceFlag | ShopperAssuranceOnDate | IsAutoHookTD | DealerInventoryURL | RedCapUrl | IsClickToBuy | IsHomeNet | IsDWCP | ServiceCenterPhone | CalltrackingShowroomPhone | CalltrackingServiceCenterPhone | DealerServiceUrl | DealerTestDriveUrl | DealerReviewUrl | ProviderName | IsRoadsterDealerFlag | RoadsterDpid | DRSVendorName | IsRoadsterPricelock | RoadsterPriceUnlockMode | IsIoniqCertified | IsEVGMACertified | CalltrackingShowroomPhoneMobile | CalltrackingServiceCenterPhoneMobile 
AK003|LITHIA HYUNDAI OF ANCHORAGE|2003-04-03 00:00:00|MS2|MS|MS2|MS2|BRYAN B DEBOER|5400 OLD SEWARD HIGHWAY||ANCHORAGE|AK|99518|5400 OLD SEWARD HIGHWAY||ANCHORAGE|AK|99518|907-762-5100|907-561-1746|213|CHRISTOPHER SCHMIDT|2014-08-13 16:02:03|2016-08-09 17:47:52.247000000|www.lithiahyundaianchorage.com|akanchyu_leads@lithia.com|0|0|61.171886444091797|-149.86958312988281|COBALT|https://consumer.xtime.com/scheduling/?webKey=xtm20211101916xx1|0|0||1|4.6590971999999997|1498|https://www.surecritic.com/reviews/lithia-hyundai-of-anchorage|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AK003&VARIANT=HYUNDAI|False|||www.lithiahyundaianchorage.com/new-inventory/index.htm||1|1|1||907-206-6333|907-206-6336|www.lithiahyundaianchorage.com/schedule-service.htm|www.lithiahyundaianchorage.com/hyundai-test-drive.htm|surecritic.com/reviews/lithia-hyundai-of-anchorage|Dealer.com|1|lithiahyundaianchorage|RST|N|nolock|1|0|778-767-2298|778-770-4645
AL008|HYUNDAI OF DOTHAN|1990-02-07 00:00:00|SO6|SO|SO6|SO6|MIKE SCHMITZ|2329 ROSS CLARK CIRCLE||DOTHAN|AL|36301|2329 ROSS CLARK CIRCLE||DOTHAN|AL|36301|334-699-6416|334-671-9014|586|PAUL PADGETT|2012-09-11 11:46:16|2016-08-09 17:47:52.247000000|www.hyundaiofdothan.com|autogroup3@gmail.com|0|0|31.193344116210938|-85.410507202148437|COBALT|https://hyundaiofdothan.myvehiclesite.com/appt/|1|0||3|4.7694758999999998|1524|https://www.surecritic.com/reviews/hyundai-of-dothan|https://hyundaiofdothan.myvehiclesite.com/appt/|True|2020-01-02||www.hyundaiofdothan.com/new-inventory/index.htm||1|1|1||334-500-4999|334-500-4994|www.hyundaiofdothan.com/schedule-service.htm|www.hyundaiofdothan.com/hyundai-test-drive.htm|surecritic.com/reviews/hyundai-of-dothan|Dealer.com|||DDC|||1|0|256-530-7352|256-685-5731
AL009|TUSCALOOSA HYUNDAI|1990-01-10 00:00:00|SO2|SO|SO2|SO2|BARRY BUCKNER|3831 HARGROVE RD E||TUSCALOOSA|AL|35405|3831 HARGROVE RD E||TUSCALOOSA|AL|35405|205-752-8113|205-758-0501|47|BARRY BUCKNER|2017-10-23 11:19:38|2016-08-09 17:47:52.247000000|www.tuscaloosahyundai.com|dclements@emailhyundai.com|1|0|33.173595428466797|-87.490516662597656|COBALT|https://consumer.xtime.com/scheduling/?webKey=hmaal009|1|0||1|4.8520795999999997|2472|https://www.surecritic.com/reviews/tuscaloosa-hyundai|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AL009&VARIANT=HYUNDAI|True|2020-01-02||www.tuscaloosahyundai.com/new-vehicles/||1|1|1||205-523-8787|205-523-8780|www.tuscaloosahyundai.com/service/|www.tuscaloosahyundai.com/hyundai-test-drive/|surecritic.com/reviews/tuscaloosa-hyundai|Dealer Inspire|||RST|||1|0|256-228-5312|256-449-8098
AL020|BENTLEY HYUNDAI|2004-07-16 00:00:00|SO2|SO|SO2|SO2|PHILIP W. BENTLEY III|PO BOX 7169||HUNTSVILLE|AL|35807|3805 UNIVERSITY DRIVE||HUNTSVILLE|AL|35816|256-713-0505|256-713-0524|588|PHILIP BENTLEY III|2018-01-11 16:08:57|2016-08-09 17:47:52.247000000|www.bentleyhyundai.com|leads@bentleyhyundai.motosnap.com|0|0|34.734653472900391|-86.621742248535156|COBALT|https://consumer.xtime.com/scheduling/?webKey=hmaal020|1|0|AL703     |1|4.8013574999999999|4499|https://www.surecritic.com/reviews/bentley-hyundai|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AL020&VARIANT=HYUNDAI|True|2020-08-12||www.bentleyhyundai.com/VehicleSearchResults?search=new||0|1|1||256-210-1222|256-210-1221|www.bentleyhyundai.com/ServiceApptForm|www.bentleyhyundai.com/Schedule-Test-Drive.html|surecritic.com/reviews/bentley-hyundai|Ansira|||TEK|||1|0|256-297-8853|256-445-8042
AL021|SUPERIOR HYUNDAI|2004-09-23 00:00:00|SO4|SO|SO4|SO4|WILLIAM (MACK) HUCKABY|PO BOX 99||ANNISTON|AL|36202|110 SOUTH QUINTARD AVE||ANNISTON|AL|36201|256-236-7651|256-236-2502|47|WILLIAM (MACK) HUCKABY|2018-03-06 13:41:56|2016-08-09 17:47:52.247000000|www.superiorhyundaial.com|suprina.brown@superiorhyundaial.com;suprinabrown@yahoo.com|0|0|33.650032043457031|-85.827308654785156|COBALT|https://api.connectcdk.com/api/nc-cdk-service-dealer/v1/?externaldealercode=AL021&externalsource=email&theme=hyundai|0|0||2|4.7526712|1328|https://www.surecritic.com/reviews/superior-hyundai-anniston|https://api.connectcdk.com/api/nc-cdk-service-dealer/v1/?externaldealercode=AL021&externalsource=email&theme=hyundai|True|2020-01-02||www.superiorhyundaial.com/VehicleSearchResults?search=new||1|1|1||256-403-0707|256-403-0744|www.superiorhyundaial.com/ServiceApptForm|www.superiorhyundaial.com/Schedule-Test-Drive.html|www.surecritic.com/reviews/superior-hyundai-anniston|Ansira|1|superiorhyundai|RST|N|nolock|0|0|256-857-6733|256-608-5061
AL022|TEAM ONE HYUNDAI OF GADSDEN|2005-07-18 00:00:00|SO3|SO|SO3|SO3|CARL ATKINSON|937 W. GRAND AVE.||RAINBOW CITY|AL|35906|937 W. GRAND AVE.||RAINBOW CITY|AL|35906|256-413-8808|256-413-8863|47|GM CANDIDATE (01/24) ALEX DALE HUDSON|2017-10-27 12:05:24|2016-08-09 17:47:52.247000000|www.hyundaiofgadsden.com|keith.graham1123@yahoo.com|1|0|33.977375030517578|-86.060684204101563|COBALT|https://consumer.xtime.com/scheduling/?webKey=hmaal022|0|0||1|4.7486442999999996|1155|https://www.surecritic.com/reviews/team-one-hyundai|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AL022&VARIANT=HYUNDAI|True|2020-01-02||www.hyundaiofgadsden.com/new-vehicles/||1|1|1||256-952-9292|256-900-1092|www.hyundaiofgadsden.com/service/|www.hyundaiofgadsden.com/hyundai-test-drive/|surecritic.com/reviews/hyundai-of-gadsden|Dealer Inspire|1|hyundaiofgadsden|RST|Y|lock|0|0|256-980-0616|256-952-7722
AL025|MITCHELL HYUNDAI|2006-09-05 00:00:00|SO6|SO|SO6|SO6|JOHN MITCHELL, SR.|1600 E. PARK AVENUE||ENTERPRISE|AL|36330|1600 E. PARK AVENUE||ENTERPRISE|AL|36330|334-308-1670|334-308-1674|587|JOHN MITCHELL, JR.|2013-04-26 07:53:24|2016-08-09 17:47:52.247000000|www.mitchellhyundai.com|fred@mitchellauto.com;waltherms@yahoo.com|0|0|31.304805755615234|-85.820945739746094|COBALT|https://mitchellhyundai.myvehiclesite.com/appt/|0|0||3|4.7264480000000004|1585|https://www.surecritic.com/reviews/mitchell-hyundai|https://mitchellhyundai.myvehiclesite.com/appt/|True|2020-10-07||www.mitchellhyundai.com/new-inventory/index.htm||1|1|1||334-390-2040|334-390-2041|www.mitchellhyundai.com/schedule-service.htm|www.mitchellhyundai.com/hyundai-test-drive.htm|surecritic.com/reviews/mitchell-hyundai|Dealer.com|||DDC|||1|0|334-423-4465|334-231-9906
AL027|EASTERN SHORE HYUNDAI|2006-06-07 00:00:00|SO6|SO|SO6|SO6|SHAWN ESFAHANI|29736 FREDERICK BOULEVARD||DAPHNE|AL|36526|29736 FREDERICK BOULEVARD||DAPHNE|AL|36526|251-626-6363|251-445-2996|61|GM CANDIDATE (05/22) SHAWN ESFAHANI, JR|2017-07-13 16:31:37|2016-08-09 17:47:52.247000000|www.easternshorehyundai.com|crm@easternshorehyundai.com|1|0|30.660713195800781|-87.856735229492188|COBALT|https://easternshorehyundai.myvehiclesite.com/appt/|1|0|AL701     |3|4.7678020999999999|2134|https://www.surecritic.com/reviews/eastern-shore-hyundai|https://easternshorehyundai.myvehiclesite.com/appt/|True|2020-01-02||www.easternshorehyundai.com/new-vehicles/||1|1|1||251-313-4004|251-313-4005|www.easternshorehyundai.com/service/|www.easternshorehyundai.com/hyundai-test-drive/|surecritic.com/reviews/eastern-shore-hyundai|Dealer Inspire|1|easternshorehyundai|RST|N|nolock|1|0|251-758-4970|251-766-4201
AL029|PALMERS AIRPORT HYUNDAI|2007-06-08 00:00:00|SO6|SO|SO6|SO6|KEITH PALMER|7680 AIRPORT BLVD||MOBILE|AL|36608|7680 AIRPORT BLVD||MOBILE|AL|36608|251-338-1501|251-338-1524|61|MICHAEL PALMER|2018-03-12 07:38:10|2016-08-09 17:47:52.247000000|www.palmershyundai.com|LFREITAS08@AOL.COM|1|0|30.6854248046875|-88.221694946289063|COBALT|https://palmersairporthyundai.myvehiclesite.com/appt/|0|0||3|4.5478573000000004|1913|https://www.surecritic.com/reviews/palmers-airport-hyundai|https://palmersairporthyundai.myvehiclesite.com/appt/|True|2020-01-02||www.palmershyundai.com/VehicleSearchResults?search=new||1|1|1||251-415-4411|251-415-4414|www.palmershyundai.com/ServiceApptForm|www.palmershyundai.com/Schedule-Test-Drive.html||Ansira|1|palmersairporthyundai|RST|N|nolock|1|0|251-727-5192|251-317-5359
AL030|TAMERON HYUNDAI||SO2|SO|SO2|SO2|DANIEL BRADEN|1675 MONTGOMERY HIGHWAY||HOOVER|AL|35216|1595 MONTGOMERY HIGHWAY||HOOVER|AL|35216|205-380-6250|205-380-6260|47|ROBERT GALLIK|2018-01-12 09:03:24|2016-08-09 17:47:52.247000000|www.tameronhyundai.com|RWALL@TAMERON.COM|0|0|33.400932312011719|-86.805206298828125|COBALT|https://consumer.xtime.com/scheduling/?webKey=hmaal030|1|0||1|4.7805467000000004|3431|https://www.surecritic.com/reviews/tameron-hyundai|https://consumer.xtime.com/xwssso/consumerlogin/?company=2421&companyCode=AL030&VARIANT=HYUNDAI|True|2020-08-30||www.tameronhyundai.com/new-vehicles/||1|1|1||205-545-5558|205-545-5154|www.tameronhyundai.com/service/|www.tameronhyundai.com/hyundai-test-drive/|surecritic.com/reviews/tameron-hyundai|Dealer Inspire|||DDC|||1|0|205-596-2876|205-827-6268
